2012_ALVL_P1_Q1.tex, ['Equations and Inequalities', 0.7777336434266935]
2012_ALVL_P1_Q10.tex, ['Applications of Integrations - Area and Volume', 0.8137142964332631]
2012_ALVL_P1_Q11.tex, ['Differential Equations', 0.7946451005350741]
2012_ALVL_P1_Q2.tex, ['Applications of Integrations - Area and Volume', 0.8008146883975216]
2012_ALVL_P1_Q3.tex, ['Arithmetic and Geometric Progression Series', 0.7993010176588458]
2012_ALVL_P1_Q4.tex, ["Binomial Expnasion, Maclaurin's Series and Small Angle Approximations", 0.8083099312824953]
2012_ALVL_P1_Q5.tex, ['Applications of Integrations - Area and Volume', 0.7673917824711832]
2012_ALVL_P1_Q6.tex, ['Complex Numbers', 0.8184047746409139]
2012_ALVL_P1_Q7.tex, ['Equations and Inequalities', 0.7791702141818246]
2012_ALVL_P1_Q8.tex, ['Differential Equations', 0.7971910644269697]
2012_ALVL_P1_Q9.tex, ['Differential Equations', 0.779445229580041]
2012_ALVL_P2_Q1.tex, ['Differential Equations', 0.8258987967672535]
2012_ALVL_P2_Q10.tex, ['Binomial and Normal Disrtributions', 0.8118939050996609]
2012_ALVL_P2_Q2.tex, ['Complex Numbers', 0.8085901683070069]
2012_ALVL_P2_Q3.tex, ['Equations and Inequalities', 0.7898406182296744]
2012_ALVL_P2_Q4.tex, ['Arithmetic and Geometric Progression Series', 0.807453294152646]
2012_ALVL_P2_Q5.tex, ['Probability', 0.8005111206561388]
2012_ALVL_P2_Q6.tex, ['Hypothesis Testing', 0.8138873522610238]
2012_ALVL_P2_Q7.tex, ['Probability', 0.8001470242505309]
2012_ALVL_P2_Q8.tex, ['Correlation and Regression', 0.8058853418825876]
2012_ALVL_P2_Q9.tex, ['Binomial and Normal Disrtributions', 0.8467020000344548]
2013_ALVL_P1_Q1.tex, ['Differential Equations', 0.7777179236650957]
2013_ALVL_P1_Q10.tex, ['Differential Equations', 0.8214596095610085]
2013_ALVL_P1_Q11.tex, ['Differential Equations', 0.7937044772528576]
2013_ALVL_P1_Q2.tex, ['Differential Equations', 0.7835818302230784]
2013_ALVL_P1_Q3.tex, ['Equations and Inequalities', 0.8284551604624163]
2013_ALVL_P1_Q4.tex, ['Complex Numbers', 0.7944503645156215]
2013_ALVL_P1_Q5.tex, ['Applications of Integrations - Area and Volume', 0.7859763141251321]
2013_ALVL_P1_Q6.tex, ["Binomial Expnasion, Maclaurin's Series and Small Angle Approximations", 0.7670736384123787]
2013_ALVL_P1_Q7.tex, ["Binomial Expnasion, Maclaurin's Series and Small Angle Approximations", 0.7843674517027494]
2013_ALVL_P1_Q8.tex, ['Complex Numbers', 0.7967110133762015]
2013_ALVL_P1_Q9.tex, ['Arithmetic and Geometric Progression Series', 0.8158275189540809]
2013_ALVL_P2_Q1.tex, ['Equations and Inequalities', 0.7784726987979906]
